"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","01","N","2019037012","3","1","","2","03","U","CHEV","1993","01","1","","4","00","W","999","0","","1","01","02","16","01","PA","1","01","1G1YY33P3P5","PCV"
"","09","N","2019039010","3","1","","1","12","Y","MERC","2006","01","1","","1","00","S","025","","","1","01","05","01","01","OH","1","01","99999999999",""
"","41","N","2019039195","3","3","","2","12","Y","GMC","2003","01","1","","4","00","W","030","0","","1","01","03","16","01","PA","1","07","1GTGG25U931","TCG"
"","04","N","2019038011","3","1","","1","12","Y","NISS","2015","01","2","","4","00","E","999","0","","1","01","05","16","01","PA","1","01","1N4AL3AP4FC","P4D"
"","73","Y","2019117522","2","1","","1","06","Y","ISU","2014","01","1","","1","00","S","005","","","3","01","03","01","01","PA","3","05","JALE5W165E7","TTB"
"","04","N","2019035893","1","1","","1","06","Y","CHRY","2015","02","1","","1","00","W","000","0","","2","01","03","03","01","PA","3","01","1C3CCCAB8FN","P4D"
"","15","N","2019119173","2","1","","1","06","Y","NISS","2009","01","1","","1","00","W","000","","","2","01","05","03","06","PA","2","06","JN8AS58V19W","T4W"
"","06","N","2019038963","3","1","","1","01","Y","BMW","2013","01","1","","1","00","S","999","0","","2","01","01","01","01","PA","1","06","WBAVL1C59DV","PSW"
"","51","N","2019035915","1","1","","1","02","Y","FORD","2017","08","2","","1","02","W","999","0","","1","01","03","01","07","PA","1","05","1FDUF5HT2HE","TCB"
"","69","Y","2019118475","2","1","","3","11","Y","FRHT","2019","02","1","","3","00","W","065","1","","2","01","07","17","06","OH","2","05","3AKJHHDVXKS","T"
"","15","N","2019036823","3","1","","1","12","Y","JEEP","1995","01","1","","1","00","S","025","0","","1","01","09","12","01","PA","1","06","1J4GZ58SXSC","T4W"
"","15","N","2019055313","1","1","","1","06","Y","CHEV","2001","01","1","","1","00","E","005","0","","3","01","02","01","03","PA","3","06","1GNDT13W612","T4W"
"","15","N","2019087532","1","1","","1","06","Y","HOND","2010","01","2","","1","00","E","020","","","2","01","03","01","01","PA","2","06","5FNYF4H6XAB","T4W"
"","69","N","2019053270","9","4","","1","12","U","FORD","9999","99","1","","1","00","E","999","0","","1","05","03","01","01","MD","1","01","1FT7W2BT9JE","T"
"","04","N","2019045433","1","2","","3","06","U","ACUR","2009","","0","","1","00","","000","0","","4","02","12","06","01","OH","2","01","JH4CU26699C","P4D"
"","69","Y","2019123757","1","1","","1","09","Y","GILG","2019","02","3","","1","00","E","999","0","","2","01","02","01","01","PA","2","03","15GGD2713K3","T"
"","69","N","2019041413","2","1","","2","03","Y","BUIC","2018","01","1","","1","00","E","025","0","","3","01","11","01","06","PA","2","06","KL4CJASB7JB","T"
"","04","N","2019124559","3","1","","1","11","Y","CHEV","2016","01","1","","1","00","N","999","0","","2","01","01","01","01","PA","1","01","1G1BE5SM7G7","P4D"
"","15","N","2019043664","3","1","","1","11","Y","HYUN","2017","01","1","","1","00","S","015","","","2","01","07","01","01","PA","2","06","KM8J3CA49HU","T4W"
"","09","N","2019028356","2","1","","1","06","Y","HOND","2017","01","1","","1","00","N","999","","","2","01","10","01","01","PA","3","01","SHHFK7H9XHU","P"
"","04","N","2019041760","3","1","","1","05","Y","NISS","2015","01","1","","1","00","N","015","","","1","01","01","12","01","PA","2","01","1N4AL3AP8FC","P4D"
"","04","N","2019044404","3","1","","1","01","Y","KIA","2016","02","1","","1","00","W","030","0","","1","01","99","01","01","PA","1","01","KNAFK4A66G5","P4D"
"","","","2019123197","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","69","N","2019042121","2","1","","1","03","Y","NISS","2018","01","1","","1","00","W","999","0","","2","01","12","01","01","PA","3","06","5N1AT2MV5JC","T"
"","09","N","2019041321","0","","","1","00","","","","99","0","","1","99","N","","0","","1","51","99","01","04","ZZ","0","01","",""
"","04","N","2019048720","1","1","","3","11","Y","BMW","2011","01","1","","1","00","W","999","2","","2","01","05","01","01","PA","2","01","WBAFU7C53BC","P4D"
"","06","N","2019122482","2","1","","1","12","Y","SUBA","2001","01","1","","1","00","W","020","0","","1","01","01","01","01","PA","1","01","4S3BH635817","PSW"
"","15","N","2019046424","3","1","","1","11","Y","KIA","2017","01","1","","1","00","W","999","0","","1","01","12","12","01","PA","1","06","5XYPHDA57HG","T4W"
"","04","N","2019124637","3","1","","1","01","Y","HYUN","2017","01","1","","1","00","S","999","0","","1","01","07","04","07","PA","1","01","5NPD84LF1HH","P4D"
"","04","N","2019043473","2","3","","1","01","Y","TOYT","2001","01","1","","1","00","W","999","0","","1","01","03","12","03","PA","1","01","JT2BG22K610","P4D"
"","51","N","2019123809","2","1","","1","01","Y","FORD","2016","02","1","","1","00","S","999","0","","2","01","03","01","01","PA","2","05","1FTMF1E88GK","TPK"
"","69","N","2019046101","2","1","","1","12","U","FORD","2013","03","2","","3","00","S","045","0","","1","01","03","17","01","AZ","1","07","1FDXE4FS6DD","TYY"
"","69","N","2019123347","3","1","","1","12","Y","MITS","2018","01","1","","1","00","N","040","0","","2","01","03","01","01","PA","1","06","JA4AR3AU5JU","T"
"","41","N","2019040861","3","3","","1","01","Y","RAM","2017","01","1","","1","00","E","999","0","","1","01","03","01","01","PA","1","07","3C6TRVAG5HE","TCG"
